,,,,,,,,,,,,,,,,,,
,Faminas,Bar do Lu,Bar da fatinha,Praca do rosario,Bar do broa,Inove,Dule,Mansao gastropub,Joao pinheiro,Bar betinho,Hospital Sao Paulo,Armacao,Cristo,Rei do cachorao,Santa marcelina,Cachorao do naldinho,Fest house,Lagoa da Gavea
Joao pinheiro,460,220,550,060,065,170,055,230,0,130,160,085,110,080,045,130,150,170
Faminas,0,430,350,480,520,370,430,410,460,530,470,410,420,510,450,560,550,420
Mansao gastropub,350,190,300,240,290,140,170,0,230,300,240,190,170,260,220,330,290,160
Bar da fatinha,350,260,0,430,470,330,430,300,420,480,470,390,330,450,360,500,510,340
Bar do broa,520,300,580,085,0,240,100,290,050,110,100,150,150,050,130,150,100,220
Rei do cachorao,510,250,460,020,050,180,100,260,080,050,140,160,140,0,130,100,150,200
Lagoa da Gavea,660,170,280,180,220,110,220,140,160,230,180,130,060,190,150,260,230,000
Cristo,630,170,330,110,150,110,110,130,160,160,170,120,0,120,120,190,230,055
Bar betinho,800,270,480,050,110,210,160,290,130,0,200,180,180,055,140,110,200,240
Santa marcelina,680,170,360,120,130,110,024,160,075,170,090,055,160,130,0,070,140,160
Hospital Sao Paulo,780,250,460,130,100,180,100,270,080,180,0,120,150,140,120,200,055,210
Praca do rosario,750,220,430,0,080,150,120,240,100,050,170,150,120,029,090,080,180,180
Inove,650,060,330,200,240,0,120,130,170,250,063,130,120,210,160,280,240,120
Dule,750,220,430,100,100,160,0,240,050,150,080,015,120,110,040,180,120,190
Armacao,710,190,390,150,150,130,040,190,100,180,120,0,180,160,060,220,170,180
Bar do Lu,580,0,260,260,410,110,170,190,220,310,210,190,180,270,210,450,290,180
Fest house,830,290,510,180,100,230,150,320,130,200,055,170,200,140,130,250,0,260
Cachorao do naldinho,560,340,620,080,140,280,180,330,130,090,240,210,200,100,150,0,240,260